Area,Site #,Latitude,Longitude,elevation (m),Rock description,Soimplified rock type,S dominant,S dominant dip direction,S dominant dip angle,Ls,Ls direction,Ls plunge,shear direction,shear sense,Direction of transport,other foliations,other L,L cren trend,L cren plunge,C' provided,C'-strike,C'-dip direction,C'-dip,Lineation,Lineation type,Sample,Thin section type,reference chunk,Big crushed,Small crushed,powdered?,other comments,Metamorphic minerals (field),Peak minerals
,SK236,27.31036,88.19117,1459,Bt Ms gneiss,NMG,017/35W,287,35,12 to 330,330,12,AMBIGUOUS,ambiguous,330,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,15 to 335,335,,,,,,,,,,,,,,,,,,,,,,,
,SK237,27.31228,88.1972,1341,Bt Grt Migmatite,MG,,,,17 to 336,336,17,top to NW,normal,336,C = 032/42W,,,,,,,,,,,,,,,,,,
,SK238,27.31362,88.19072,1288,migmatitic gneiss,MG,051/26NW,321,26,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,010/35W,280,35,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,040/40W,310,40,,,,,,,,,,,,,,,,,,,,,,,,,
,SK190,27.3138,88.18684,1275,Bt Ms sil migmatitic gneiss,MG,,,,24 to 340,340,24,,normal,340,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,22 to 320,320,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,33 to 330,330,,,,,,,,,,,,,,,,,,,,,,,
,SK189,27.31747,88.19907,1250,Grt amph fold broken w axial leucogranite,,,,,,,,,,,leuc S = 345/48W,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Shear plane = 256/58N,,,,,,,,,,,,,,,,,,
,SK184,27.34485,88.1962,1802,Grt Hbl migmatite,MG,,,,05 to 355,355,,,,,,,,,,,,,,,SK184B,,,,,,,,
,,,,,,,,,,05 to 356,356,,,,,,,,,,,,,,,SK184C,,,,,,,,
,SK187,27.3363,88.20421,1470,Grt Sil gneiss,NMG,187/28W,277,28,22 to 342,342,22,hints at ttt S,thrust,162,,,,,,,,,,,SK187A,,,,,,,,
,,,,,,,,,,16 to 349,349,,,,,,,,,,,,,,,SK187B,,,,,,,,
,,,,,,,,,,15 to 340,340,,,,,,,,,,,,,,,,,,,,,,,
,SK175,27.30084,88.22659,1888,Migmatite,MG,,,,33 to 282,282,33,top to east (thrust) OPB top to west (normal),both,282,C' = 000/44W,,,,,,,,,,yes,oriented,yes,,,,,bt,Bt
,,,,,,,,,,28 to 281,281,,,,,C = 354/08W,,,,,,,,,,,,,,,,,,
,SK176,27.30039,88.22205,1845,Quartzite,IM(B),,,,20 to 300,300,20,top to west,normal,300,C' = 30/50W,,,,,,,,,,,,,,,,badly weathered,"bt, chl",Bt
,,,,,,,,,,,,,,,,C = 324/20SW,,,,,,,,,,,,,,,,,,
,SK177,27.30054,88.22124,1845,schisty,IM(G),024/36W,294,36,32 to 282,282,32,top to west (normal) with hints at earlier thrust (maybe),both,290,,,,,,,,,,,yes,,yes,yes,,,DASGUPTA'S FAVORITE,"grt, bt",Grt
,,,,,,,,,,30 to 307,307,,,,,,,,,,,,,,,,,,,,,,,
,SK178,27.30241,88.21832,1776,massive quartzite,IM(B),031/27W,301,27,33 to 302,302,33,,unkown,302,,,,,,,,,,,,,,,,,,bt,Bt
,SK179,27.30243,88.21469,1790,Quartzite,IM(B),007/22W,277,22,,,,,,,,,,,,,,,,,,,,,,,,none,
,SK180,27.30844,88.19648,1610,Quartzite,IM(G),260/30N,350,30,,,,,,,,,,,,,,,,,yes,random non-oriented,yes,no,no,no,weird backwards large SC fabric,"st, bt",St
,SK181,27.30672,88.19933,1625,Migmatite,MG,226/11NW,316,11,12 to 282,282,,,,,,,,,,,,,,,yes,xz non-oriented and zy non-oriented,yes,yes,yes,yes,"oos n ground indicates nearby st, grt",bt,Sil
,SK182,27.30514,88.20811,1720,metapelite,IM(G),,,,,,,,,,,,,,,,,,,,,,,,,,horrendously weathered,grt,Grt
,SK184,27.34485,88.1982,1802,Migmatite,MG,230/23NW,320,23,20 to 124,124,20,top to S,thrust,124,,,,,,,,,,,yes,2 x oriented,yes,yes,yes,no,,"st, grt, bt",Grt St
,,,,,,,,,,22 to 14,14,22,top to S,thrust,194,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,21 to 13,13,21,top to S,thrust,193,,,,,,,,,,,,,,,,,,,
,SK185,27.34366,88.19817,1800,Migmatite,MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SK186,27.33699,88.19643,1560,Migmatite,MG,234/35NW,324,35,,,,,,,,,,,,,,,,,,,,,,,,"grt, bt",Grt
